# 50 ЭТАЛОННЫХ: КОРРЕКТНОСТЬ ГАРАНТИРУЕТ ВЫДАЧА
101 | ввод | 1 | one | 1 | Что возвращает input() без аргументов?
102 | данные | 2 | short | 1 | Среднее чисел 4 и 10 равно какому целому числу?
103 | ошибки | 3 | one | 1 | Файл содержит много записей, часть с нечисловыми значениями. Где перехватывать ValueError, чтобы дочитать файл до конца?
104 | структура | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
105 | ввод | 5 | one | 1 | Программа принимает любые целые со знаком. Перед int(s) стоит проверка s.isdigit(). Какой допустимый вход она отвергнет?
106 | данные | 1 | one | 1 | Как называется структура, хранящая пары ключ — значение?
107 | ошибки | 1 | short | 1 | Как называется исключение при делении на ноль?
108 | структура | 2 | one | 1 | Функция объявлена как def twice(x): return x * 2. Что вернёт twice(6)?
109 | ввод | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
110 | данные | 3 | one | 1 | Нужно посчитать, сколько раз встретилось каждое имя. Что подходит?
111 | ошибки | 2 | one | 1 | Какое исключение поднимет int("12x")?
112 | структура | 5 | one | 1 | Функция печатает результат, но не возвращает его. Для какой задачи такого интерфейса недостаточно?
113 | ввод | 1 | short | 1 | Как называется стандартный поток, в который пишет обычный print?
114 | данные | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
115 | ошибки | 5 | one | 1 | Код выполняет a / b и ловит только ValueError. Какая пара значений выявит неполную обработку?
116 | структура | 1 | one | 1 | Какое слово начинает определение функции?
117 | ввод | 2 | one | 1 | Что вернёт int("  -7  ")?
118 | данные | 5 | one | 1 | Среднее считают как sum(values) / len(values). На каком наборе расчёт остановится с ошибкой?
119 | ошибки | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
120 | структура | 3 | one | 1 | Один расчёт нужен двум точкам входа. Как разделить обязанности?
121 | ввод | 2 | many | 1 | Какие строки int() примет без ошибки?
122 | данные | 1 | short | 1 | Что вернёт len([])? Введите число.
123 | ошибки | 1 | one | 1 | Какой блок выполняется, если внутри try поднялось подходящее исключение?
124 | структура | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
125 | ввод | 3 | short | 1 | Какое исключение поднимет input(), если поток ввода закончился?
126 | данные | 2 | one | 1 | Есть d = {"a": 2}. Что произойдёт после d["a"] = d["a"] + 3?
127 | ошибки | 2 | many | 1 | Какие исключения возможны при чтении файла по неверному пути?
128 | структура | 1 | one | 1 | Что делает import memory, если рядом лежит memory.py?
129 | ввод | 1 | one | 1 | Куда попадёт текст при print(text, file=sys.stderr)?
130 | данные | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
131 | ошибки | 3 | one | 1 | try стоит вокруг всего цикла, except — после него. Что произойдёт с оставшимися записями при первой ошибке?
132 | структура | 2 | many | 1 | Что делает return внутри функции?
133 | ввод | 2 | short | 1 | Что вернёт "  42  ".strip()? Введите результат без кавычек.
134 | данные | 1 | one | 1 | Что создаёт выражение {}?
135 | ошибки | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
136 | структура | 5 | one | 1 | Функция накапливает результат в глобальном списке. Когда повторный вызов даст неверный ответ?
137 | ввод | 3 | one | 1 | Из одной строки нужно получить два целых. Какая последовательность подходит?
138 | данные | 2 | many | 1 | Какие операции меняют существующий список на месте?
139 | ошибки | 2 | short | 1 | Как называется исключение при обращении за пределы списка?
140 | структура | 3 | one | 1 | Модуль должен остаться пригодным для повторного использования. Чего в нём делать нельзя?
141 | ввод | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
142 | данные | 3 | short | 1 | Три значения разделены двумя вертикальными чертами и других символов-разделителей нет. Сколько полей даст split по этому разделителю?
143 | ошибки | 5 | one | 1 | Обработчик написан как except Exception: pass. Какое последствие делает его опасным?
144 | структура | 1 | short | 1 | Что вернёт функция, в которой не выполнился ни один return?
145 | ввод | 5 | one | 1 | Разбор строки использует split(" ") вместо split(). Какой вход обнаружит разницу?
146 | данные | 5 | one | 1 | Код всегда обращается к values[0]. Какой набор покажет отсутствие проверки размера?
147 | ошибки | 1 | one | 1 | Как называется ошибка обращения к отсутствующему ключу словаря?
148 | структура | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
149 | ввод |  | short | 0 | Небольшая пауза. Введите слово дальше, чтобы продолжить.
150 | структура |  | short | 0 | Разрядка: на каком языке написана программа, которую вы сейчас собираете?
