# 50 НА РЕВИЗИЮ: НЕ БОЛЕЕ 20% ДЕФЕКТНЫХ
201 | структура | 1 | one | 1 | Что такое аргумент функции?
202 | ошибки | 2 | short | 1 | Как называется исключение, которое поднимает int("")?
203 | данные | 4 | one | 1 | Счётчик увеличивают как d[name] += 1 без предварительной инициализации. При каком состоянии d это упадёт?
204 | ввод | 3 | one | 1 | Программа показывает вопросы человеку, а служебный журнал ведёт отдельно. Как это устроить?
205 | структура | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
206 | синтаксис | 1 | one | 1 | Что означает сообщение NameError: name 'total' is not defined?
207 | данные | 2 | short | 1 | Сколько ключей будет в словаре, если по одному ключу на имя обработать список ["a", "b", "a"]?
208 | ввод | 1 | one | 1 | Что делает метод strip() у строки?
209 | структура | 2 | one | 1 | Функция меняет переданный список на месте и заодно возвращает его. Какой вызов покажет неожиданный эффект?
210 | ошибки | 3 | one | 1 | Испорченная запись не должна останавливать чтение файла. Что нужно сделать?
211 | данные | 2 | many | 1 | Какие выражения создают пустую коллекцию?
212 | ввод | 3 | short | 1 | Каким аргументом print просят немедленно сбросить буфер вывода? Введите имя аргумента.
213 | структура |  | one | 1 | Чем полезен модуль, который возвращает результат вместо печати?
214 | данные | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
215 | данные | 1 | one | 1 | Что делает метод append у списка?
216 | ввод | 5 | one | 1 | Приглашение печатают без flush, затем программа ждёт input(). Что увидит собеседник?
217 | структура | 1 | short | 1 | Сколько раз выполняется код модуля при обычном повторном import в одном процессе? Введите число.
218 | ошибки | 2 | one | 1 | Выражение "3" + 4 останавливает программу с TypeError. О чём говорит это сообщение?
219 | данные | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
220 | ввод | 2 | one | 1 | Что вернёт "7".isdigit()?
221 | структура | 4 | one | 1 | Функция объявлена как def push(v, box): box.append(v); return len(box). С одним и тем же списком data = [] сделаны вызовы push(1, data), затем push(2, data). Что вернёт второй вызов?
222 | ошибки | 4 | one | 1 | В словаре d = {"a": 1}. Обращение d["b"] стоит внутри try, где перехвачен только ValueError. Чем закончится выполнение?
223 | данные | 3 | one | 1 | Записи нужно сгруппировать по имени модуля и посчитать среднее. Что удобнее хранить?
224 | ввод | 2 | short | 1 | Сколько элементов вернёт "a,b,c".split(",")? Введите число.
225 | структура | 5 | one | 1 | Модуль печатает диагностику прямо в stdout. Что сломается у вызывающей программы?
226 | ошибки | 3 | many | 1 | Что стоит записать в журнал, чтобы запись была полезной?
227 | данные | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
228 | ввод | 1 | one | 1 | Что добавляет обычный print в конце вывода?
229 | структура | 2 | one | 1 | Где принято печатать результат работы программы?
230 | ошибки | 1 | short | 1 | С какой строки traceback читают в первую очередь — с первой или с последней? Введите слово.
231 | данные | 5 | one | 1 | Из списка удаляют элементы прямо во время обхода этого же списка. Что произойдёт?
232 | ввод | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
233 | структура | 3 | one | 1 | Два модуля импортируют друг друга. Чем это плохо?
234 | ошибки | 5 | one | 1 | Разбор ловит ValueError, но не TypeError. Какая запись уронит программу?
235 | данные | 1 | short | 1 | Какой индекс у последнего элемента непустого списка длины n? Введите выражение.
236 | ввод | 2 | many | 1 | При каких значениях line выражение not line.strip() даст True?
237 | структура | 1 | one | 1 | Что произойдёт с модулем, если положить его рядом с точкой входа в той же папке?
238 | ошибки | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
239 | данные | 2 | one | 1 | Есть counts = {}. Что произойдёт при counts["x"] += 1?
240 | ввод | 5 | one | 1 | Проверка отвергает пустой ввод, но принимает строку из пробелов. Какой вход покажет дефект?
241 | структура | 2 | one | 1 | Что верно про точку входа программы?
242 | ошибки | 1 | one | 1 | Что показывает строка File "…", line 12 в traceback?
243 | данные | 4 | output | 1 | Что напечатает фрагмент? Введите одну строку вывода.
244 | ввод | 3 | one | 1 | Нужно отличить пустую строку от конца потока. Что делать?
245 | структура | 5 | one | 1 | Расчёт и печать смешаны в одной функции. Какая задача покажет, что интерфейс выбран неудачно?
246 | ошибки | 2 | many | 1 | Какие сведения о записи полезно вывести в поток ошибок при её пропуске?
247 | данные | 3 | short | 1 | Каким выражением печатают среднее ровно с двумя знаками после точки? Введите вызов без имени переменной, например f(x, "…").
248 | ввод | 4 | one | 1 | Строка line равна "  8  ". Что вернёт int(line) + 1?
249 | данные | 1 | one | 1 | Что вернёт выражение len("код")?
250 | структура | 3 | one | 1 | Точка входа разрослась до трёхсот строк. Какой первый шаг разделения обязанностей?
